#! FIELDS time cv2 metad.bias metad.work
#! SET min_cv2 -pi
#! SET max_cv2 pi
 1.000000 -1.549812 0.000000 0.000000
 2.000000 -1.833001 0.036042 0.050000
 3.000000 -1.580257 0.088335 0.099999
 4.000000 -1.599893 0.139466 0.149999
 5.000000 -1.455926 0.169105 0.199999
 6.000000 -1.795782 0.204098 0.249999
 7.000000 -1.674226 0.277400 0.299998
 8.000000 -1.658749 0.328396 0.349998
 9.000000 -1.442128 0.327299 0.399998
 10.000000 -1.321043 0.306834 0.449997
 11.000000 -1.530358 0.452176 0.499997
 12.000000 -1.750827 0.461181 0.549997
 13.000000 -1.834260 0.457677 0.599997
 14.000000 -1.621267 0.593241 0.649997
 15.000000 -1.652207 0.640945 0.699997
 16.000000 -1.629073 0.692948 0.749996
 17.000000 -1.634634 0.742694 0.799996
 18.000000 -1.896825 0.608242 0.849995
 19.000000 -1.857317 0.702912 0.899995
 20.000000 -1.663626 0.871548 0.949994
 21.000000 -1.387591 0.725005 0.999994
 22.000000 -1.461955 0.863352 1.049994
 23.000000 -1.772192 0.937614 1.099994
 24.000000 -1.526274 1.007891 1.149993
 25.000000 -1.666163 1.093849 1.199993
 26.000000 -1.815773 1.023924 1.249993
 27.000000 -1.389866 0.961288 1.299993
 28.000000 -1.944488 0.883692 1.349993
 29.000000 -1.762053 1.205975 1.399993
 30.000000 -1.691002 1.303927 1.449993
 31.000000 -1.776492 1.289859 1.499992
 32.000000 -1.790953 1.323084 1.549992
 33.000000 -1.516031 1.358361 1.599991
 34.000000 -1.683677 1.497028 1.649991
 35.000000 -1.449660 1.345161 1.699991
 36.000000 -1.135732 0.659418 1.749990
 37.000000 -1.555517 1.572038 1.799990
 38.000000 -1.959432 1.178618 1.849990
 39.000000 -1.515069 1.600550 1.899990
 40.000000 -1.521402 1.658954 1.949989
 41.000000 -1.527166 1.716260 1.999989
 42.000000 -1.525184 1.763785 2.049989
 43.000000 -1.730565 1.821853 2.099989
 44.000000 -1.580696 1.911744 2.149988
 45.000000 -1.424100 1.714756 2.199988
 46.000000 -1.561706 1.992958 2.249987
 47.000000 -1.630514 2.070350 2.299987
 48.000000 -1.563204 2.093314 2.349986
 49.000000 -1.690308 2.137924 2.399986
 50.000000 -1.230713 1.317211 2.449985
 51.000000 -1.503739 2.148043 2.499985
 52.000000 -1.644931 2.287015 2.549984
 53.000000 -1.602287 2.341015 2.599984
 54.000000 -1.553390 2.360473 2.649984
 55.000000 -1.369078 1.992950 2.699983
 56.000000 -1.606072 2.480997 2.749983
 57.000000 -1.881276 1.980634 2.799983
 58.000000 -1.690157 2.521415 2.849983
 59.000000 -1.723931 2.519897 2.899982
 60.000000 -1.375608 2.185904 2.949982
 61.000000 -1.951921 1.853437 2.999981
 62.000000 -1.616426 2.736104 3.049981
 63.000000 -1.492302 2.640233 3.099981
 64.000000 -1.721682 2.732954 3.149981
 65.000000 -1.808861 2.557954 3.199980
 66.000000 -1.645021 2.919536 3.249980
 67.000000 -1.737138 2.849047 3.299980
 68.000000 -1.687574 2.983276 3.349979
 69.000000 -1.937687 2.221915 3.399979
 70.000000 -1.736490 2.992339 3.449979
 71.000000 -1.610261 3.147188 3.499979
 72.000000 -1.915460 2.451428 3.549979
 73.000000 -1.868793 2.707762 3.599978
 74.000000 -1.706691 3.231082 3.649978
 75.000000 -1.476722 3.044089 3.699977
 76.000000 -1.816454 3.037103 3.749977
 77.000000 -1.611155 3.406712 3.799977
 78.000000 -1.809224 3.155172 3.849977
 79.000000 -1.762800 3.349227 3.899977
 80.000000 -1.400945 2.921810 3.949977
 81.000000 -1.643600 3.597843 3.999977
 82.000000 -1.823213 3.271333 4.049976
 83.000000 -1.623651 3.686282 4.099976
 84.000000 -2.046005 2.182667 4.149976
 85.000000 -1.834808 3.357829 4.199975
 86.000000 -1.845138 3.364147 4.249975
 87.000000 -1.866397 3.318656 4.299974
 88.000000 -1.755806 3.770490 4.349974
 89.000000 -1.614872 3.920285 4.399974
 90.000000 -1.970090 2.887530 4.449973
 91.000000 -1.426860 3.373195 4.499973
 92.000000 -1.522525 3.834120 4.549973
 93.000000 -1.768524 3.945062 4.599972
 94.000000 -1.455090 3.644085 4.649972
 95.000000 -1.632711 4.197060 4.699972
 96.000000 -1.569860 4.156040 4.749971
 97.000000 -1.555704 4.171096 4.799971
 98.000000 -1.572928 4.262865 4.849970
 99.000000 -1.581851 4.331386 4.899969
 100.000000 -1.935016 3.399754 4.949969
 101.000000 -2.186623 1.753658 4.999969
 102.000000 -2.005224 3.022997 5.049968
 103.000000 -1.672998 4.526594 5.099968
 104.000000 -1.836525 4.131496 5.149968
 105.000000 -1.783523 4.401613 5.199967
 106.000000 -2.012123 3.141400 5.249967
 107.000000 -1.796960 4.443536 5.299966
 108.000000 -2.024473 3.143875 5.349966
 109.000000 -1.516604 4.435587 5.399966
 110.000000 -2.278494 1.470367 5.449966
 111.000000 -1.865391 4.279411 5.499965
 112.000000 -1.999751 3.473162 5.549965
 113.000000 -1.859696 4.405363 5.599964
 114.000000 -1.864689 4.429524 5.649964
 115.000000 -1.908788 4.229130 5.699963
 116.000000 -2.196549 2.200336 5.749963
 117.000000 -1.589870 4.919105 5.799962
 118.000000 -2.087685 3.070126 5.849962
 119.000000 -2.510081 0.660409 5.899962
 120.000000 -2.165535 2.564561 5.949962
 121.000000 -1.406582 4.035626 5.999962
 122.000000 -2.053382 3.459106 6.049962
 123.000000 -1.890743 4.608765 6.099961
 124.000000 -1.856409 4.837217 6.149961
 125.000000 -1.811124 5.079114 6.199960
 126.000000 -1.903334 4.684892 6.249960
 127.000000 -1.418765 4.268942 6.299960
