#! FIELDS time cv2 metad.bias metad.work
#! SET min_cv2 -pi
#! SET max_cv2 pi
 1.000000 -1.600087 0.000000 0.000000
 2.000000 -1.755645 0.045298 0.050000
 3.000000 -1.629176 0.096667 0.100000
 4.000000 -1.669589 0.147203 0.149999
 5.000000 -1.940944 0.145226 0.199999
 6.000000 -1.977601 0.182976 0.249999
 7.000000 -2.124814 0.174047 0.299999
 8.000000 -1.594600 0.267584 0.349998
 9.000000 -1.563610 0.306064 0.399998
 10.000000 -1.620755 0.375394 0.449997
 11.000000 -2.374666 0.127254 0.499997
 12.000000 -1.656865 0.439793 0.549997
 13.000000 -1.849915 0.477237 0.599997
 14.000000 -1.569093 0.495891 0.649996
 15.000000 -1.730983 0.589737 0.699995
 16.000000 -1.527555 0.562833 0.749995
 17.000000 -1.618867 0.664962 0.799995
 18.000000 -1.722021 0.730467 0.849995
 19.000000 -1.779463 0.767126 0.899994
 20.000000 -1.849773 0.779463 0.949994
 21.000000 -1.806556 0.854947 0.999993
 22.000000 -1.663411 0.913801 1.049993
 23.000000 -2.147713 0.552404 1.099993
 24.000000 -1.602699 0.944534 1.149992
 25.000000 -2.142187 0.625390 1.199992
 26.000000 -1.903938 0.986810 1.249992
 27.000000 -1.499809 0.916590 1.299991
 28.000000 -1.597075 1.086882 1.349991
 29.000000 -1.817518 1.173296 1.399991
 30.000000 -1.757901 1.247717 1.449991
 31.000000 -1.806104 1.279505 1.499991
 32.000000 -1.584238 1.249152 1.549990
 33.000000 -1.653437 1.367130 1.599990
 34.000000 -1.839916 1.387643 1.649989
 35.000000 -1.915430 1.342719 1.699989
 36.000000 -1.869038 1.455568 1.749988
 37.000000 -1.755054 1.580997 1.799988
 38.000000 -1.435337 1.185216 1.849988
 39.000000 -1.767913 1.660564 1.899987
 40.000000 -1.936586 1.514376 1.949987
 41.000000 -1.942474 1.553186 1.999987
 42.000000 -1.835319 1.759960 2.049986
 43.000000 -1.943374 1.649127 2.099986
 44.000000 -1.688881 1.863781 2.149986
 45.000000 -1.562796 1.718978 2.199985
 46.000000 -2.078253 1.419260 2.249985
 47.000000 -2.182284 1.162793 2.299985
 48.000000 -1.956078 1.825036 2.349984
 49.000000 -1.984530 1.811494 2.399984
 50.000000 -1.683592 2.072378 2.449984
 51.000000 -1.885829 2.090561 2.499984
 52.000000 -1.795996 2.219653 2.549984
 53.000000 -1.802383 2.267558 2.599983
 54.000000 -1.803717 2.317048 2.649983
 55.000000 -1.623885 2.199804 2.699983
 56.000000 -1.603799 2.203701 2.749982
 57.000000 -1.789892 2.459134 2.799982
 58.000000 -1.833789 2.480239 2.849982
 59.000000 -1.885765 2.457828 2.899981
 60.000000 -1.616269 2.405477 2.949981
 61.000000 -1.937844 2.429387 2.999981
 62.000000 -1.761566 2.697404 3.049981
